ID,source,n_backbone_matches,MW,cLogP,HBD,HBA,TPSA,RotBonds
ABOMOT,CSD,10,1218.437,-0.233,8.0,18.0,445.98,12.0
ABUDUW,CSD,14,1403.937,2.264,8.0,16.0,369.88,21.0
ACTDGU10,CSD,8,1256.644,1.674,7.0,18.0,358.37,8.0
ACUMOC,CSD,9,1449.757,14.308,0.0,9.0,182.79,18.0
AENNIC10,CSD,7,875.058,-6.959,4.0,24.0,265.74,1.0
AHELEG,CSD,12,754.499,3.574,3.0,7.0,159.67,10.0
AJAGEX,CSD,8,114.043,-1.768,2.0,2.0,58.2,0.0
ALASAR,CSD,8,284.148,-2.12,1.0,4.0,90.03,0.0
ALAZOD,CSD,12,882.41,4.466,6.0,12.0,174.6,9.0
ALPRAL10,CSD,8,412.211,0.214,2.0,4.0,98.82,2.0
AMIFAE,CSD,11,1201.841,3.269,5.0,12.0,278.8,15.0
ANTAHC10,CSD,10,1146.59,2.52,6.0,10.0,255.84,9.0
ANUJUQ,CSD,10,747.432,0.715,7.0,8.0,198.07,8.0
ARECEI,CSD,8,1340.592,-3.957,10.0,22.0,438.02,8.0
ARESEW,CSD,13,1997.67,-10.265,26.0,32.0,730.62,19.0
ASIYIL,CSD,8,213.039,-1.527,1.0,5.0,96.02,0.0
ASOSAD,CSD,12,588.295,2.005,2.0,6.0,125.12,5.0
AYUQIV,CSD,9,1089.593,2.09,7.0,11.0,278.46,14.0
BAMANT10,CSD,8,903.343,-4.293,12.0,13.0,354.86,6.0
BASPOD,CSD,16,938.58,-4.833,10.0,12.0,368.34,20.0
BASPUJ,CSD,8,770.392,-8.938,10.0,12.0,368.34,12.0
BAZQAU,CSD,8,1417.952,2.605,7.0,16.0,361.09,21.0
BEHTEN,CSD,10,543.306,0.527,2.0,6.0,128.36,5.0
BEJMAI,CSD,8,854.375,-2.585,10.0,11.0,303.12,6.0
BEMVAS,CSD,7,865.474,2.694,4.0,8.0,188.77,9.0
BEPQOD,CSD,8,1055.638,-1.885,12.0,14.0,354.84,14.0
BIBWES,CSD,12,717.3,-1.898,7.0,11.0,215.99,1.0
BIHTUH,CSD,12,630.317,0.446,4.0,6.0,157.02,4.0
BIVJOG,CSD,12,1156.24,1.286,6.0,20.0,298.02,8.0
BIXPAZ10,CSD,12,634.348,0.749,6.0,6.0,174.6,8.0
BOBXAV,CSD,12,1228.343,6.269,2.0,20.0,217.44,9.0
BODHEH,CSD,12,1054.569,1.071,6.0,18.0,332.4,7.0
BODJEJ,CSD,12,1194.725,4.252,6.0,18.0,332.4,12.0
BOHFEJ,CSD,7,811.484,2.516,4.0,9.0,203.61,10.0
BOMQUT,CSD,9,1743.672,-3.073,19.0,29.0,618.65,22.0
BOQRUU,CSD,8,1584.733,3.92,16.0,24.0,481.68,16.0
BOQYEM,CSD,8,684.197,-4.409,4.0,16.0,121.74,0.0
BRAXGU,CSD,8,1334.555,2.437,7.0,18.0,358.37,8.0
CACNOJ10,CSD,8,744.36,-1.321,6.0,8.0,215.22,4.0
CACYEK,CSD,8,796.483,2.834,4.0,12.0,221.6,8.0
CAKROX,CSD,12,790.059,0.101,2.0,18.0,195.2,0.0
CAZFIS,CSD,8,932.37,-5.617,12.0,14.0,369.88,8.0
CAZFOY,CSD,8,948.365,-5.951,12.0,15.0,386.95,8.0
CAZSEB,CSD,8,672.36,-2.202,0.0,8.0,162.48,0.0
CAZXAD,CSD,8,1144.673,6.979,4.0,8.0,197.64,8.0
CAZXEH,CSD,8,840.547,2.088,4.0,8.0,197.64,0.0
CDSRCA10,CSD,8,142.074,-1.083,0.0,2.0,40.62,0.0
CEHXAO,CSD,9,358.055,-2.074,0.0,9.0,78.9,0.0
CESXIH10,CSD,8,1099.662,-3.247,4.0,20.0,210.4,0.0
CETSAW,CSD,16,664.347,2.288,2.0,8.0,151.42,8.0
CGDLLL10,CSD,12,566.379,0.356,6.0,6.0,174.6,8.0
CHPSAR,CSD,7,497.26,-3.791,0.0,7.0,142.17,0.0
CINLAQ,CSD,8,305.043,0.978,0.0,4.0,52.6,3.0
CIXJIE,CSD,8,610.959,1.918,2.0,6.0,67.4,2.0
CIYNEE,CSD,16,838.38,-1.555,9.0,10.0,282.89,6.0
COSARC10,CSD,8,568.297,-4.333,0.0,8.0,162.48,0.0
CUDTEC,CSD,9,1599.005,3.922,10.0,18.0,400.27,24.0
CUDYAC,CSD,8,1410.63,4.715,8.0,16.0,363.48,1.0
CUJHIY,CSD,12,1013.4,-3.636,11.0,20.0,340.85,11.0
CUKLED,CSD,8,398.069,2.74,0.0,5.0,52.6,2.0
CUQRUB,CSD,11,1243.852,3.84,4.0,13.0,284.87,16.0
CUQSAI,CSD,11,1321.762,4.215,4.0,13.0,284.87,17.0
CUQYUI,CSD,8,796.506,-1.136,10.0,10.0,273.26,10.0
CUSYUK,CSD,8,503.998,-4.051,3.0,13.0,165.89,0.0
CUZHIO,CSD,8,375.024,-1.605,0.0,10.0,105.2,0.0
CYDSAR,CSD,10,710.371,-5.416,0.0,10.0,203.1,0.0
DAGPAE,CSD,8,276.108,0.56,0.0,4.0,138.14,2.0
DASXIE,CSD,8,744.36,-1.321,6.0,8.0,215.22,4.0
DAXRAZ,CSD,8,1388.676,1.836,9.0,20.0,399.5,8.0
DEKSAN,CSD,11,1201.841,3.269,5.0,12.0,278.8,15.0
DETWUU,CSD,8,632.281,0.09,3.0,10.0,208.8,4.0
DEWFEQ,CSD,12,1012.571,-3.008,8.0,12.0,314.04,4.0
DEWPOK,CSD,8,1073.908,-1.339,0.0,26.0,252.72,0.0
DOCBEG,CSD,8,2156.41,-14.659,4.0,44.0,452.52,0.0
DOMZOW,CSD,8,1118.652,5.338,0.0,16.0,211.38,14.0
DONQUU,CSD,8,532.095,0.759,6.0,8.0,192.6,8.0
DOQKOJ,CSD,8,2564.331,-4.491,0.0,56.0,585.04,0.0
DOVXIW,CSD,8,454.327,1.529,4.0,4.0,122.88,4.0
DOWXOC,CSD,7,449.019,-1.104,0.0,6.0,93.22,0.0
DUBNOH,CSD,10,2067.669,-7.218,29.0,45.0,817.84,17.0
DUMCEV,CSD,14,740.386,-1.374,8.0,9.0,244.24,4.0
DUMCIZ,CSD,7,740.386,-1.374,8.0,9.0,244.24,4.0
DUMNOQ,CSD,14,738.406,-0.738,6.0,8.0,215.22,4.0
DUMNUW,CSD,7,740.386,-1.374,8.0,9.0,244.24,4.0
DUMPAE,CSD,7,740.386,-1.374,8.0,9.0,244.24,4.0
DUPFAV,CSD,8,991.426,-2.546,11.0,14.0,373.51,17.0
DUTLAF10,CSD,10,1174.622,3.156,6.0,10.0,255.84,10.0
DUVGOQ10,CSD,8,806.288,-0.966,6.0,10.0,215.22,4.0
DUXQAR,CSD,8,948.546,5.665,0.0,12.0,186.44,12.0
EHEMAG,CSD,16,1024.628,3.186,8.0,4.0,182.84,8.0
EJISOJ,CSD,8,671.389,1.854,3.0,8.0,165.66,6.0
EJOYEH,CSD,8,848.41,-2.164,9.0,11.0,281.54,9.0
EJOYIL,CSD,8,848.41,-2.164,9.0,11.0,281.54,9.0
ENELIS,CSD,10,1504.579,5.695,10.0,12.0,331.62,20.0
ENELOY,CSD,10,1428.493,4.283,10.0,12.0,331.62,18.0
ESUPUE,CSD,8,1117.689,-0.455,10.0,11.0,326.85,17.0
EVAPUM,CSD,8,768.417,-0.788,7.0,9.0,235.45,5.0
EVITEK,CSD,15,637.441,2.732,5.0,7.0,171.8,11.0
EZUKIU,CSD,12,756.347,-0.632,6.0,11.0,199.0,1.0
FADQOQ,CSD,8,1032.547,4.522,4.0,8.0,197.64,16.0
FADQUW,CSD,8,1040.61,5.418,4.0,8.0,197.64,16.0
FADTEJ,CSD,16,860.516,1.904,4.0,8.0,197.64,8.0
FAMPOA,CSD,8,640.032,-7.93,0.0,16.0,207.74,3.0
FAPFIL,CSD,8,1099.661,-3.247,4.0,20.0,210.4,0.0
FAPFIL10,CSD,8,1099.661,-3.898,3.0,20.0,210.4,0.0
FERCRN10,CSD,12,770.241,-4.765,7.0,16.0,266.14,1.0
FETGUG,CSD,8,1022.046,-2.274,0.0,22.0,228.86,0.0
FILPEW,CSD,12,960.539,-3.981,10.0,12.0,331.62,4.0
FIQBIU,CSD,7,1775.081,-1.043,20.0,22.0,663.59,50.0
FOHDIS,CSD,8,339.122,1.363,2.0,4.0,101.34,5.0
FOLPIJ,CSD,9,488.28,1.86,3.0,4.0,107.61,2.0
FOLWOT,CSD,8,844.542,0.962,6.0,9.0,226.66,9.0
FOQJEC,CSD,8,258.137,1.419,0.0,4.0,40.62,2.0
FUBRAV,CSD,12,589.214,1.436,4.0,9.0,162.49,3.0
FUBXUX,CSD,10,445.233,-0.86,5.0,5.0,145.5,2.0
FUBYAE,CSD,10,547.279,0.847,4.0,5.0,136.71,4.0
FULJIH,CSD,16,578.358,2.906,4.0,6.0,122.88,8.0
GABWOW,CSD,11,1215.857,3.659,5.0,12.0,278.8,16.0
GACCOH,CSD,12,1200.169,4.616,5.0,13.0,234.84,10.0
GAFPEM,CSD,12,504.08,-2.374,0.0,12.0,105.2,0.0
GAJFAY,CSD,12,825.385,2.248,7.0,7.0,201.83,9.0
GEHJEI,CSD,8,463.052,-3.645,2.0,12.0,191.38,6.0
GEJTAU,CSD,8,550.254,1.208,4.0,6.0,157.02,0.0
GENTOM,CSD,8,858.191,3.219,4.0,16.0,233.43,2.0
GEVQON,CSD,8,1292.129,-12.552,0.0,32.0,330.36,0.0
GIMFIS,CSD,8,390.063,1.368,3.0,6.0,86.31,0.0
GIPKAR10,CSD,9,1039.647,3.701,7.0,9.0,244.32,13.0
GIQJEV,CSD,8,2564.331,-4.491,0.0,56.0,585.04,0.0
GOGVAC,CSD,8,716.224,-2.767,0.0,13.0,116.5,0.0
GOGVEG,CSD,8,710.211,-2.767,0.0,13.0,116.5,0.0
GOGZOU,CSD,12,1016.425,-0.599,12.0,14.0,329.06,17.0
GOKSEE,CSD,7,1126.631,4.772,5.0,14.0,265.41,17.0
GUHGIZ,CSD,8,1408.843,0.25,16.0,18.0,504.55,34.0
GUVCUX,CSD,16,1196.746,5.78,4.0,12.0,234.56,14.0
GUYDAJ,CSD,12,1263.525,4.52,9.0,15.0,374.52,0.0
HAXMOI,CSD,8,1078.591,-0.25,4.0,16.0,309.32,4.0
HEBKUU,CSD,10,1118.559,1.883,6.0,10.0,255.84,8.0
HECWIX,CSD,16,2312.159,-20.093,8.0,64.0,736.94,0.0
HEGNEO,CSD,8,406.233,-0.005,3.0,5.0,127.5,4.0
HEGNIS,CSD,8,420.249,0.383,3.0,5.0,127.5,4.0
HEWFUL,CSD,12,1799.747,-7.19,12.0,48.0,574.62,0.0
HEWGOG,CSD,16,623.368,3.067,3.0,7.0,138.84,12.0
HEYZAN,CSD,16,1048.527,2.015,0.0,12.0,199.4,20.0
HEZDID,CSD,10,1174.697,3.738,8.0,10.0,273.42,14.0
HEZDOJ,CSD,10,1174.697,3.738,8.0,10.0,273.42,14.0
HEZDUP,CSD,10,1210.678,4.333,8.0,10.0,273.42,14.0
HICHUW,CSD,8,1488.42,-2.573,19.0,25.0,553.01,13.0
HIPCOB,CSD,16,686.243,6.146,6.0,6.0,122.72,6.0
HIYMEL,CSD,8,625.096,-1.245,0.0,14.0,148.34,3.0
HOZXON,CSD,16,843.428,0.042,9.0,9.0,260.03,7.0
HUCVIK,CSD,11,1215.857,3.659,5.0,12.0,278.8,16.0
HUCVOQ,CSD,11,1203.857,3.493,5.0,12.0,278.8,16.0
HUNSAK,CSD,10,1396.873,5.729,6.0,14.0,314.92,18.0
HUQGEH,CSD,8,534.164,2.306,1.0,9.0,124.07,2.0
IBAFEA,CSD,12,470.289,1.924,3.0,4.0,107.61,7.0
IBAFUQ,CSD,16,543.285,2.602,4.0,4.0,123.4,7.0
ICYSPA,CSD,10,1329.754,3.715,5.0,13.0,270.96,13.0
IGIWIF,CSD,10,1638.717,7.747,8.0,12.0,273.42,20.0
IJAQIV,CSD,12,610.275,-3.203,0.0,8.0,140.32,10.0
IKEREY,CSD,16,1040.464,1.995,0.0,12.0,199.4,16.0
IKEYEF,CSD,8,1042.477,4.141,0.0,12.0,278.46,18.0
ILAMYC,CSD,7,1193.516,7.454,5.0,12.0,260.49,17.0
ILOWAJ,CSD,10,1138.715,3.939,4.0,10.0,238.26,12.0
IMIHAP02,CSD,8,260.116,0.424,2.0,3.0,69.64,2.0
ISAQEA,CSD,12,919.417,-3.059,11.0,16.0,363.74,18.0
IWINUA,CSD,8,760.442,2.474,4.0,8.0,129.36,8.0
IZUYUA,CSD,12,1391.945,-10.357,12.0,36.0,355.98,6.0
JAMROI,CSD,9,1119.643,-2.287,11.0,16.0,362.98,12.0
JAWTIK,CSD,8,870.369,-3.614,11.0,12.0,323.35,6.0
JAYQIJ,CSD,8,399.024,-1.05,0.0,12.0,130.26,0.0
JAZHAU,CSD,8,413.271,0.883,3.0,6.0,81.1,4.0
JEBQOA,CSD,9,973.694,3.458,8.0,9.0,253.11,14.0
JETLAY,CSD,8,395.221,2.585,1.0,3.0,69.72,3.0
JEZREP,CSD,8,558.075,-3.587,0.0,12.0,128.1,0.0
JIHSOM,CSD,8,643.193,2.217,0.0,12.0,138.88,6.0
JIMJUO,CSD,8,1127.919,-0.026,0.0,12.0,107.16,0.0
JINGAO,CSD,8,744.36,-1.321,6.0,8.0,215.22,4.0
JIWLAD,CSD,8,1090.028,-6.086,0.0,22.0,224.08,0.0
JIWLEH,CSD,8,1092.031,-6.086,0.0,22.0,224.08,0.0
JIWLIL,CSD,16,1114.047,-6.086,0.0,22.0,224.08,0.0
JIWLOR,CSD,16,1116.05,-6.086,0.0,22.0,224.08,0.0
JIWMAE,CSD,8,1134.067,-6.086,0.0,22.0,224.08,0.0
JOGVUW,CSD,8,356.007,-2.939,1.0,11.0,125.43,0.0
JOKMAX,CSD,9,1233.796,4.871,5.0,12.0,244.66,15.0
JOQWAN,CSD,12,1691.535,-4.125,0.0,48.0,553.62,0.0
JUDGEW,CSD,16,1872.062,-17.779,16.0,54.0,647.98,0.0
JUJHUR,CSD,9,941.537,1.403,7.0,9.0,244.32,7.0
JUQDOO,CSD,8,465.945,-5.896,0.0,14.0,161.94,0.0
JUVJAL10,CSD,14,737.505,0.977,4.0,8.0,188.77,8.0
JUXHAL,CSD,7,827.458,2.195,5.0,8.0,197.56,8.0
KANZOR,CSD,8,964.579,4.592,4.0,8.0,197.64,8.0
KAQWEG,CSD,8,478.171,1.099,0.0,6.0,81.24,3.0
KARPIE,CSD,7,726.37,-2.058,9.0,9.0,251.16,7.0
KEBKOR,CSD,8,493.187,1.659,0.0,5.0,98.31,2.0
KEBXOH,CSD,8,1438.451,-10.786,14.0,30.0,459.54,0.0
KECBUQ,CSD,8,642.215,-2.121,0.0,10.0,187.42,6.0
KEQTAE,CSD,8,756.345,3.431,4.0,10.0,182.8,6.0
KEQTEI,CSD,16,812.408,4.991,4.0,10.0,182.8,6.0
KEXZAQ,CSD,8,952.412,2.006,0.0,10.0,180.94,12.0
KEYMOU,CSD,8,1112.23,-5.81,0.0,20.0,161.94,4.0
KICKEM,CSD,8,919.911,-5.033,0.0,24.0,221.2,0.0
KIDFAI,CSD,16,680.422,-1.415,8.0,8.0,232.8,6.0
KIFKUJ,CSD,9,1321.262,-6.553,14.0,25.0,494.32,16.0
KIFLAQ,CSD,9,1089.464,-8.283,10.0,17.0,446.37,15.0
KIFLEU,CSD,10,1257.471,-2.944,10.0,18.0,378.75,2.0
KIFLIY,CSD,12,1350.644,-10.13,16.0,22.0,607.46,22.0
KIQYUE,CSD,16,592.326,3.043,4.0,6.0,142.7,1.0
KISJOP,CSD,12,382.047,-2.613,0.0,10.0,107.27,0.0
KISJUV,CSD,12,389.04,-2.613,0.0,10.0,107.27,0.0
KIZYOI,CSD,8,712.062,-0.253,0.0,14.0,179.14,5.0
KORYUO,CSD,8,354.137,4.015,0.0,4.0,40.62,0.0
KORZID,CSD,8,548.185,6.885,0.0,7.0,79.54,3.0
KUKHOR,CSD,12,870.38,1.648,2.0,12.0,210.5,6.0
KUPDIM,CSD,8,432.118,2.209,1.0,6.0,70.08,4.0
LACSUD,CSD,7,742.401,-1.878,8.0,9.0,258.23,9.0
LERHAV,CSD,16,830.563,2.141,6.0,8.0,215.22,10.0
LERHEZ,CSD,8,886.626,3.462,4.0,8.0,197.64,11.0
LERHOJ,CSD,8,968.574,3.411,4.0,9.0,209.08,10.0
LERHUP,CSD,8,872.61,3.072,4.0,8.0,197.64,10.0
LERJEB,CSD,10,1160.794,5.111,3.0,10.0,229.47,14.0
LERJIF,CSD,8,878.563,2.632,4.0,8.0,197.64,9.0
LERPIL,CSD,16,900.641,3.852,4.0,8.0,197.64,12.0
LERPOR,CSD,16,864.547,2.338,3.0,8.0,188.85,8.0
LERPUX,CSD,8,812.516,1.307,4.0,8.0,197.64,6.0
LERQAE,CSD,8,816.547,1.799,4.0,8.0,197.64,8.0
LERQEI,CSD,8,802.532,1.361,3.0,8.0,188.85,6.0
LERQIM,CSD,8,788.516,1.019,4.0,8.0,197.64,6.0
LERQUY,CSD,7,715.463,1.413,3.0,7.0,168.54,6.0
LERRAF,CSD,7,737.448,1.417,5.0,7.0,186.12,7.0
LERREJ,CSD,16,816.547,1.895,6.0,8.0,215.22,8.0
LERRIN,CSD,8,876.547,2.434,5.0,8.0,206.43,9.0
LERROT,CSD,8,802.532,1.409,4.0,8.0,197.64,7.0
LERRUZ,CSD,8,952.579,3.705,3.0,8.0,188.85,10.0
LERSAG,CSD,8,926.563,3.173,3.0,8.0,188.85,10.0
LERSEK,CSD,8,876.547,2.482,3.0,8.0,188.85,8.0
LERSIO,CSD,9,913.6,1.838,5.0,9.0,226.74,7.0
LERTAH,CSD,9,915.616,1.94,5.0,9.0,226.74,9.0
LERTEL,CSD,10,1138.715,3.844,5.0,10.0,247.05,13.0
LERTIP,CSD,10,1130.747,4.182,2.0,10.0,220.68,12.0
LERTOV,CSD,10,1186.809,5.597,2.0,10.0,220.68,14.0
LERTUB,CSD,10,1046.653,2.128,5.0,10.0,247.05,9.0
LERVOX,CSD,11,1227.8,4.171,5.0,11.0,267.36,13.0
LETHIE,CSD,9,931.647,2.432,8.0,9.0,253.11,12.0
LETMOQ,CSD,8,912.157,-19.372,0.0,24.0,483.52,16.0
LETPIM,CSD,9,973.694,3.458,8.0,9.0,253.11,14.0
LEXJEH,CSD,8,868.247,6.668,0.0,8.0,78.3,8.0
LEZQUD,CSD,12,335.21,2.474,2.0,4.0,75.63,7.0
LICCEJ,CSD,8,260.152,1.258,2.0,2.0,58.2,4.0
LIGYOP,CSD,8,2552.338,-4.491,0.0,56.0,585.04,0.0
LIGYUV,CSD,9,2552.338,-3.233,0.0,56.0,582.97,0.0
LIKCEO,CSD,7,771.396,0.752,5.0,8.0,203.19,8.0
LIRNAD,CSD,8,1680.248,3.019,0.0,28.0,345.32,0.0
LIRNEH,CSD,8,2396.302,6.663,7.0,43.0,456.02,26.0
LOLQEL,CSD,12,622.153,-2.466,0.0,12.0,107.27,0.0
LUPNUI,CSD,8,676.138,5.72,0.0,10.0,115.38,0.0
MAVFAU,CSD,7,780.42,-1.202,6.0,9.0,246.28,10.0
MAVFEY,CSD,7,780.42,-1.202,6.0,9.0,246.28,10.0
MAVFIC,CSD,14,912.384,-0.516,7.0,10.0,266.51,11.0
MEALVL10,CSD,7,1123.663,2.259,6.0,17.0,326.41,9.0
MEYROZ,CSD,8,642.304,1.439,3.0,8.0,158.63,4.0
MEYRUF,CSD,16,676.331,1.805,3.0,8.0,158.63,4.0
MIDJUE,CSD,12,2219.847,-10.123,3.0,41.0,435.81,0.0
MIDKAL,CSD,12,2171.862,-7.035,0.0,38.0,375.12,0.0
MIHDEN,CSD,8,952.673,4.632,4.0,8.0,197.64,8.0
MITJAC,CSD,12,1451.704,-6.827,17.0,19.0,565.71,30.0
MIWXOJ,CSD,10,565.42,2.655,5.0,5.0,145.5,10.0
MOQHIK,CSD,12,393.111,3.491,3.0,5.0,85.43,0.0
MUCYOZ,CSD,8,720.36,-1.51,8.0,8.0,232.8,4.0
MUKNIP,CSD,16,961.897,-8.556,0.0,24.0,327.93,0.0
MUKNOV,CSD,7,961.897,-10.035,2.0,25.0,330.9,0.0
MUKNUB,CSD,8,983.881,-6.402,3.0,28.0,302.96,0.0
MULCUT,CSD,8,868.047,0.149,2.0,14.0,118.16,1.0
NAMPIA,CSD,10,1201.841,3.581,5.0,13.0,276.59,15.0
NAYXEQ,CSD,12,583.189,4.665,0.0,6.0,90.36,7.0
NEHYAA,CSD,10,1136.663,2.858,7.0,11.0,276.07,11.0
NEJKIW,CSD,8,2044.136,-2.571,12.0,44.0,456.92,12.0
NEPMIE,CSD,8,792.366,1.96,8.0,12.0,240.84,8.0
NEPMUQ,CSD,8,778.351,1.57,8.0,12.0,240.84,7.0
NEPNAX,CSD,8,792.366,1.96,8.0,12.0,240.84,8.0
NEWNOS,CSD,11,768.096,-3.409,4.0,19.0,246.12,0.0
NEYYIA,CSD,12,556.139,-8.071,10.0,18.0,241.32,4.0
NICDOT,CSD,8,413.184,1.57,1.0,4.0,75.62,2.0
NIDKUH,CSD,8,794.203,0.169,0.0,15.0,114.43,6.0
NIRBUO,CSD,8,1260.96,-1.744,10.0,6.0,194.04,20.0
NITCEY,CSD,9,359.053,-2.074,0.0,9.0,78.9,0.0
NIWHEH,CSD,8,907.444,-2.128,11.0,12.0,327.79,11.0
NIXMAJ,CSD,10,1527.363,-2.139,16.0,26.0,527.79,8.0
NIZZUT,CSD,8,433.043,4.004,2.0,3.0,61.44,2.0
NOSVOG,CSD,16,1464.432,-3.652,19.0,25.0,559.75,13.0
NOYTAA,CSD,12,1010.629,2.289,3.0,16.0,243.6,6.0
NUCZUH,CSD,7,826.438,1.067,7.0,8.0,222.14,8.0
NULLOZ,CSD,10,856.506,0.964,6.0,11.0,233.68,13.0
NUPROJ,CSD,11,1292.585,-8.525,16.0,18.0,519.91,20.0
NUVBUB,CSD,8,573.993,-2.294,4.0,12.0,169.54,1.0
OCOKIE,CSD,8,1480.406,2.267,7.0,18.0,358.37,8.0
OCUFAT,CSD,8,525.913,-6.255,0.0,17.0,207.38,1.0
OFUDUR,CSD,16,1115.699,3.933,6.0,11.0,261.83,14.0
OFUZEY,CSD,8,398.145,-5.149,0.0,8.0,161.5,4.0
OHUNEO,CSD,8,447.216,3.29,1.0,5.0,82.44,0.0
OJOPIM,CSD,8,2564.331,-4.491,0.0,56.0,585.04,0.0
OPAQEC,CSD,8,2284.424,9.81,6.0,30.0,279.78,16.0
OXWEDT10,CSD,8,719.942,-2.759,0.0,14.0,161.1,0.0
PAMYOV,CSD,8,568.326,2.043,3.0,6.0,137.21,11.0
PANGET,CSD,7,1000.563,2.514,6.0,11.0,252.96,11.0
PEBSEV,CSD,8,1201.927,-11.724,12.0,34.0,386.6,0.0
PEBSIZ,CSD,8,1201.927,-11.724,12.0,34.0,386.6,0.0
PECMET,CSD,8,772.38,5.437,2.0,8.0,123.76,11.0
PIFZAI,CSD,10,1468.666,-1.176,17.0,19.0,496.54,17.0
PIJPAZ,CSD,11,1259.847,2.858,6.0,14.0,313.89,17.0
PIZNUI,CSD,16,756.453,0.095,8.0,8.0,232.8,5.0
POFSEI,CSD,8,1331.857,-11.067,16.0,24.0,466.68,4.0
POHMUU,CSD,8,1412.665,2.865,7.0,20.0,376.83,12.0
PUBQAI,CSD,12,2310.002,5.246,0.0,30.0,386.34,0.0
PUCDOG,CSD,8,2489.835,-7.434,2.0,42.0,379.26,0.0
PUVCOC,CSD,8,645.235,2.904,4.0,6.0,148.15,4.0
PUVDET,CSD,16,595.279,2.545,3.0,5.0,127.92,4.0
QABDUW,CSD,16,648.331,2.323,3.0,9.0,159.27,3.0
QANSOR,CSD,12,340.124,-0.565,1.0,3.0,63.22,2.0
QAPCIW,CSD,8,646.327,4.204,6.0,4.0,147.98,6.0
QARTIP,CSD,10,567.363,0.781,5.0,7.0,171.8,6.0
QAYBID,CSD,16,1414.605,3.942,8.0,16.0,363.48,1.0
QAYBOJ,CSD,8,1548.714,7.436,8.0,16.0,363.48,1.0
QAYBUP,CSD,16,1624.689,8.575,8.0,16.0,363.48,2.0
QAYCAW,CSD,16,1672.508,8.534,9.0,17.0,383.71,4.0
QEFHUE,CSD,16,1100.689,4.372,4.0,11.0,235.38,13.0
QENREG,CSD,8,488.263,0.906,4.0,6.0,142.7,1.0
QEWTUH,CSD,8,2337.778,-7.916,2.0,38.0,347.4,4.0
QISKOU,CSD,10,974.653,1.16,9.0,10.0,282.21,12.0
QOCGAT,CSD,12,510.244,-4.054,6.0,8.0,197.48,2.0
QONYEX,CSD,8,946.107,-4.901,0.0,16.0,241.76,8.0
QORJAM,CSD,8,1891.954,5.702,8.0,24.0,316.64,4.0
QOSNAN,CSD,7,714.28,-2.859,9.0,10.0,251.16,1.0
QUBWAL,CSD,8,2612.172,-0.315,23.0,45.0,725.11,20.0
QUCZIA,CSD,14,1043.569,3.363,7.0,13.0,287.18,16.0
QUHDOM,CSD,8,886.126,-3.262,4.0,16.0,267.4,0.0
QULNAP,CSD,8,261.081,-0.092,0.0,5.0,69.67,2.0
QUWTIP,CSD,8,1663.492,0.774,17.0,31.0,562.74,12.0
RALPAY,CSD,8,958.082,-4.202,8.0,24.0,329.32,9.0
RAQFOI,CSD,10,2153.325,-2.529,16.0,41.0,888.48,28.0
RARSOU,CSD,8,408.065,-1.896,0.0,10.0,128.1,0.0
RAZWEX,CSD,12,650.328,-3.176,0.0,10.0,158.78,14.0
RECKIW,CSD,8,312.094,-2.937,0.0,8.0,105.2,1.0
REDMIA01,CSD,11,1204.86,3.269,5.0,12.0,278.8,15.0
RESBIE,CSD,12,664.28,3.247,4.0,6.0,124.57,7.0
REZTAR,CSD,10,1211.235,2.885,14.0,18.0,400.64,2.0
RIMPAG,CSD,10,468.262,3.218,1.0,5.0,92.78,2.0
RIMPAG01,CSD,10,468.262,3.218,1.0,5.0,92.78,2.0
RIMROU,CSD,8,339.13,4.306,0.0,0.0,0.0,4.0
RIQBIE,CSD,8,482.253,1.025,2.0,7.0,92.37,0.0
RIRBID,CSD,12,1194.725,4.252,6.0,18.0,332.4,12.0
RIVLIS,CSD,12,1036.579,4.638,4.0,8.0,197.64,8.0
RIVLOY,CSD,12,1068.568,3.902,6.0,10.0,233.68,12.0
RIWZIJ,CSD,16,766.495,-0.636,9.0,9.0,253.03,11.0
RIWZUV,CSD,8,792.417,-1.269,9.0,9.0,253.03,9.0
RIXBAE,CSD,8,850.47,-0.615,9.0,9.0,282.89,10.0
ROXLEX,CSD,8,466.233,-0.363,4.0,6.0,150.86,4.0
RUBLIN,CSD,9,1062.767,6.638,8.0,11.0,268.33,20.0
RUCBEX,CSD,8,666.02,0.977,0.0,4.0,81.24,6.0
RUMQOF,CSD,8,346.993,-2.382,0.0,10.0,105.2,0.0
RUSJEX,CSD,9,1376.644,1.196,14.0,16.0,428.08,17.0
RUSPON,CSD,14,1057.548,3.215,8.0,13.0,311.95,17.0
RUSPUT,CSD,7,1057.548,3.215,8.0,13.0,311.95,17.0
SACBIL,CSD,8,298.168,2.16,0.0,2.0,40.62,0.0
SAFVOM,CSD,9,1057.603,3.408,7.0,10.0,244.32,14.0
SAKFUF,CSD,8,418.135,-2.411,0.0,10.0,143.06,1.0
SARVIP,CSD,8,1394.827,-0.14,16.0,18.0,504.55,33.0
SEDTMO,CSD,12,1579.572,-7.701,0.0,38.0,386.28,0.0
SEFTIG,CSD,8,308.148,-1.786,2.0,4.0,98.82,0.0
SIHPUW,CSD,8,300.09,3.453,2.0,4.0,58.2,0.0
SIRJEL,CSD,12,3839.122,2.344,24.0,36.0,502.62,0.0
